,PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck
0,0001_01,Europa,False,P,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,False,B
1,0002_01,Earth,False,S,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,True,F
2,0003_01,Europa,False,S,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,False,A
3,0003_02,Europa,False,S,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,False,A
4,0004_01,Earth,False,S,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,True,F
5,0005_01,Earth,False,P,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,True,F
6,0006_01,Earth,False,S,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,True,F
7,0006_02,Earth,True,S,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,G
8,0007_01,Earth,False,S,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,True,F
9,0008_01,Europa,True,P,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,True,B
10,0008_02,Europa,True,P,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,True,B
11,0008_03,Europa,False,P,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,True,B
12,0009_01,Mars,False,P,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,True,F
13,0010_01,Earth,False,S,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,False,G
14,0011_01,Earth,False,P,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,True,F
15,0012_01,Earth,False,P,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,False,F
16,0014_01,Mars,False,P,55 Cancri e,27.0,False,1286.0,122.0,311.32511380880123,0.0,0.0,False,F
17,0015_01,Earth,False,P,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,False,F
18,0016_01,Mars,True,P,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,True,F
19,0017_01,Earth,False,P,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,True,G
20,0017_02,Earth,False,P,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,False,F
21,0020_01,Earth,True,S,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,False,E
22,0020_02,Earth,True,S,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,False,E
23,0020_03,Earth,True,S,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,False,E
24,0020_04,Earth,False,S,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,True,E
25,0020_05,Earth,True,S,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,False,E
26,0020_06,Earth,False,S,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,False,E
27,0022_01,Mars,False,P,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,False,D
28,0024_01,Europa,True,S,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,True,C
29,0025_01,Earth,False,S,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,False,F
30,0026_01,Europa,False,P,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,False,C
31,0028_01,Mars,False,P,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,False,F
32,0030_01,Earth,False,S,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,False,G
33,0031_01,Mars,False,P,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,True,F
34,0031_02,Mars,False,P,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,F
35,0031_03,Mars,False,P,TRAPPIST-1e,20.0,False,522.5752178855627,0.0,1750.0,990.0,0.0,True,F
36,0034_01,Europa,True,S,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,True,D
37,0035_01,Mars,False,P,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,False,D
38,0036_01,Earth,False,S,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,False,F
39,0038_01,Earth,False,S,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,False,F
40,0039_01,Earth,True,P,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,False,G
41,0041_01,Earth,True,P,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,True,G
42,0043_01,Europa,False,P,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,False,B
43,0044_01,Earth,True,P,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,False,G
44,0044_02,Earth,True,P,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,True,G
45,0044_03,Earth,True,P,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,True,G
46,0045_01,Mars,False,P,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,False,F
47,0045_02,Mars,True,P,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,True,F
48,0050_01,Earth,False,S,55 Cancri e,35.0,False,790.0,0.0,0.0,141.68113837665166,0.0,False,E
49,0051_01,Earth,False,S,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,False,E
50,0052_01,Earth,False,S,TRAPPIST-1e,25.991118229470004,False,4.0,0.0,2.0,4683.0,0.0,False,G
51,0053_01,Earth,False,S,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,True,F
52,0056_01,Europa,False,S,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,True,A
53,0056_02,Europa,True,S,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,True,A
54,0056_03,Europa,False,S,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,True,A
55,0058_01,Earth,True,S,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,False,G
56,0061_01,Earth,False,S,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,False,F
57,0062_01,Earth,False,S,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,False,F
58,0064_01,Mars,True,S,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,True,F
59,0064_02,Mars,True,S,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,True,E
60,0066_01,Earth,False,P,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,False,G
